Lead_ID,Converted,Converted_Account_ID,Converted_Opportunity_ID,Created_Date,Industry,Lead_Source,Status,Status_Simplified,Converted_Accounts,Converted_Opportunities
00Q5A00001OVIUAUA5,TRUE,0015A00002OJrTYQA1,0065A00001bO3YqQAK,2020-08-13,Environmental,Website,Converted,Open,1,1
00Q5A00001OVIV3UAP,FALSE,N/A,N/A,2020-08-13,Environmental,Website,Nurturing,Open,0,0
00Q5A00001OVIZKUA5,FALSE,N/A,N/A,2020-08-13,Agriculture,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVIZeUAP,FALSE,N/A,N/A,2020-08-13,Banking,Advertisment,Nurturing,Open,0,0
00Q5A00001OVIZfUAP,FALSE,N/A,N/A,2020-08-13,Chemicals,Advertisment,Nurturing,Open,0,0
00Q5A00001OVIZgUAP,FALSE,N/A,N/A,2020-08-13,Apparel,Advertisment,Nurturing,Open,0,0
00Q5A00001OVIZhUAP,FALSE,N/A,N/A,2020-08-13,Biotechnology,Advertisment,Nurturing,Open,0,0
00Q5A00001OVIZiUAP,FALSE,N/A,N/A,2020-08-13,Biotechnology,Advertisment,Nurturing,Open,0,0
00Q5A00001OVIZjUAP,FALSE,N/A,N/A,2020-08-13,Apparel,Advertisment,Nurturing,Open,0,0
00Q5A00001OVIZkUAP,FALSE,N/A,N/A,2020-08-13,N/A,Advertisment,Nurturing,Open,0,0
00Q5A00001OVIZlUAP,FALSE,N/A,N/A,2020-08-13,Agriculture,Advertisment,Nurturing,Open,0,0
00Q5A00001OVIZmUAP,FALSE,N/A,N/A,2020-08-13,Apparel,Advertisment,Nurturing,Open,0,0
00Q5A00001OVIZnUAP,FALSE,N/A,N/A,2020-08-13,N/A,Advertisment,Nurturing,Open,0,0
00Q5A00001OVIZoUAP,FALSE,N/A,N/A,2020-08-13,Agriculture,Advertisment,Nurturing,Open,0,0
00Q5A00001OVIZqUAP,FALSE,N/A,N/A,2020-08-13,Consulting,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVIbCUAX,FALSE,N/A,N/A,2020-08-13,Apparel,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVJ6wUAH,FALSE,N/A,N/A,2020-08-13,Biotechnology,Website,Nurturing,Open,0,0
00Q5A00001OVJ7aUAH,FALSE,N/A,N/A,2020-08-13,Banking,Website,Nurturing,Open,0,0
00Q5A00001OVJ7bUAH,FALSE,N/A,N/A,2020-08-13,Communications,Website,Nurturing,Open,0,0
00Q5A00001OVJ9bUAH,FALSE,N/A,N/A,2020-08-13,Apparel,Website,SQL,Open,0,0
00Q5A00001OVJDTUA5,FALSE,N/A,N/A,2020-08-13,Biotechnology,Website,Nurturing,Open,0,0
00Q5A00001OVJTbUAP,FALSE,N/A,N/A,2020-08-13,Banking,Website,Nurturing,Open,0,0
00Q5A00001OVJU5UAP,FALSE,N/A,N/A,2020-08-13,Chemicals,Website,Nurturing,Open,0,0
00Q5A00001OVJWpUAP,FALSE,N/A,N/A,2020-08-13,Communications,Website,Nurturing,Open,0,0
00Q5A00001OVJqxUAH,TRUE,0015A00001tabLSQAY,0065A00001bNz6iQAC,2020-08-14,Chemicals,Website,Converted,Open,1,1
00Q5A00001OVK0YUAX,FALSE,N/A,N/A,2020-08-14,Agriculture,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVK1CUAX,FALSE,N/A,N/A,2020-08-14,Banking,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVK2ZUAX,FALSE,N/A,N/A,2020-08-14,N/A,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVK3wUAH,FALSE,N/A,N/A,2020-08-14,Chemicals,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVK9VUAX,TRUE,0015A00002OJECEQA5,N/A,2020-08-14,Biotechnology,Field Sales,Converted,Open,1,0
00Q5A00001OVKAsUAP,TRUE,0015A00002OJEO0QAP,N/A,2020-08-14,Consulting,Field Sales,Converted,Open,1,0
00Q5A00001OVKK5UAP,FALSE,N/A,N/A,2020-08-14,Apparel,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVKKsUAP,FALSE,N/A,N/A,2020-08-14,Biotechnology,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVKMyUAP,FALSE,N/A,N/A,2020-08-14,Apparel,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVKOfUAP,FALSE,N/A,N/A,2020-08-14,N/A,Website,Nurturing,Open,0,0
00Q5A00001OVKPEUA5,FALSE,N/A,N/A,2020-08-14,N/A,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVKPiUAP,FALSE,N/A,N/A,2020-08-14,Banking,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVKR0UAP,FALSE,N/A,N/A,2020-08-14,Apparel,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVKRZUA5,FALSE,N/A,N/A,2020-08-14,N/A,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVKTGUA5,FALSE,N/A,N/A,2020-08-14,Agriculture,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVKU9UAP,FALSE,N/A,N/A,2020-08-14,Apparel,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVKV2UAP,FALSE,N/A,N/A,2020-08-14,Banking,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVL5pUAH,FALSE,N/A,N/A,2020-08-16,Chemicals,Website,Disqualified,Open,0,0
00Q5A00001OVLHlUAP,FALSE,N/A,N/A,2020-08-16,Communications,Website,Disqualified,Open,0,0
00Q5A00001OVLcjUAH,TRUE,0015A00001xP4A2QAK,0065A00001ZwpziQAB,2020-08-17,Construction,Website,Converted,Open,1,1
00Q5A00001OVLvXUAX,FALSE,N/A,N/A,2020-08-17,N/A,Website,Nurturing,Open,0,0
00Q5A00001OVMGFUA5,TRUE,0013100001oPSk5AAG,0065A00001bgFNxQAM,2020-08-17,Biotechnology,Other,Converted,Open,1,1
00Q5A00001OVN9pUAH,FALSE,N/A,N/A,2020-08-18,Biotechnology,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVPnvUAH,FALSE,N/A,N/A,2020-08-18,Biotechnology,Website,Disqualified,Open,0,0
00Q5A00001OVPvfUAH,FALSE,N/A,N/A,2020-08-18,Banking,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVQ14UAH,FALSE,N/A,N/A,2020-08-18,Apparel,Prospecting Journey,Disqualified,Open,0,0
00Q5A00001OVQ5kUAH,FALSE,N/A,N/A,2020-08-18,Agriculture,Advertisement,Nurturing,Open,0,0
00Q5A00001OVQT8UAP,FALSE,N/A,N/A,2020-08-19,Apparel,Website,Nurturing,Open,0,0
00Q5A00001OVQVdUAP,FALSE,N/A,N/A,2020-08-19,Chemicals,Website,Nurturing,Open,0,0
00Q5A00001OVQoHUAX,TRUE,0015A00002OJliNQAT,N/A,2020-08-19,Biotechnology,Website,Converted,Open,1,0
00Q5A00001OVQu5UAH,FALSE,N/A,N/A,2020-08-19,N/A,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVQuAUAX,FALSE,N/A,N/A,2020-08-19,Apparel,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVQuUUAX,FALSE,N/A,N/A,2020-08-19,Consulting,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVQuZUAX,FALSE,N/A,N/A,2020-08-19,Communications,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVQueUAH,FALSE,N/A,N/A,2020-08-19,Biotechnology,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVQwCUAX,FALSE,N/A,N/A,2020-08-19,Agriculture,Website,Nurturing,Open,0,0
00Q5A00001OVQwzUAH,FALSE,N/A,N/A,2020-08-19,Communications,Website,Nurturing,Open,0,0
00Q5A00001OVR0rUAH,FALSE,N/A,N/A,2020-08-19,Agriculture,Website,MQL,Open,0,0
00Q5A00001OVR1fUAH,FALSE,N/A,N/A,2020-08-19,Environmental,Website,Nurturing,Open,0,0
00Q5A00001OVR2OUAX,FALSE,N/A,N/A,2020-08-19,Agriculture,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVR3lUAH,FALSE,N/A,N/A,2020-08-19,Construction,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVR3vUAH,FALSE,N/A,N/A,2020-08-19,Agriculture,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVR4FUAX,FALSE,N/A,N/A,2020-08-19,N/A,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVR5IUAX,FALSE,N/A,N/A,2020-08-19,Apparel,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVR5XUAX,FALSE,N/A,N/A,2020-08-19,Biotechnology,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVRBXUA5,FALSE,N/A,N/A,2020-08-19,Communications,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVRBcUAP,FALSE,N/A,N/A,2020-08-19,Telecommunications,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVRBwUAP,TRUE,0013100001puTb4AAE,0065A00001bOIT6QAO,2020-08-19,N/A,Prospecting Journey,Converted,Open,1,1
00Q5A00001OVRCBUA5,FALSE,N/A,N/A,2020-08-19,Agriculture,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVRHUUA5,FALSE,N/A,N/A,2020-08-19,Consulting,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVRImUAP,FALSE,N/A,N/A,2020-08-19,Apparel,Website,Disqualified,Open,0,0
00Q5A00001OVRMcUAP,FALSE,N/A,N/A,2020-08-19,Biotechnology,Website,Disqualified,Open,0,0
00Q5A00001OVRTYUA5,TRUE,0015A00002OLX6fQAH,0065A00001bgCwHQAU,2020-08-19,Banking,Inside Sales,Converted,Open,1,1
00Q5A00001OVRTnUAP,FALSE,N/A,N/A,2020-08-19,Communications,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVRUCUA5,FALSE,N/A,N/A,2020-08-19,Chemicals,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVRUMUA5,FALSE,N/A,N/A,2020-08-19,Banking,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVRV0UAP,FALSE,N/A,N/A,2020-08-19,Consulting,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVRW8UAP,FALSE,N/A,N/A,2020-08-19,Chemicals,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVRWSUA5,FALSE,N/A,N/A,2020-08-19,Apparel,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVRm6UAH,FALSE,N/A,N/A,2020-08-20,Communications,Website,Nurturing,Open,0,0
00Q5A00001OVRsdUAH,FALSE,N/A,N/A,2020-08-20,N/A,Website,Nurturing,Open,0,0
00Q5A00001OVRwfUAH,FALSE,N/A,N/A,2020-08-20,Banking,Website,MQL,Open,0,0
00Q5A00001OVRzoUAH,TRUE,0015A00002OJvmdQAD,0065A00001bO58kQAC,2020-08-20,Chemicals,Prospecting Journey,Converted,Open,1,1
00Q5A00001OVS6lUAH,FALSE,N/A,N/A,2020-08-20,Banking,Website,Nurturing,Open,0,0
00Q5A00001OVS7oUAH,FALSE,N/A,N/A,2020-08-20,Agriculture,Website,Disqualified,Open,0,0
00Q5A00001OVSAEUA5,FALSE,N/A,N/A,2020-08-20,Banking,Website,Nurturing,Open,0,0
00Q5A00001OVSC5UAP,FALSE,N/A,N/A,2020-08-20,Chemicals,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVSCUUA5,FALSE,N/A,N/A,2020-08-20,Banking,Website,Nurturing,Open,0,0
00Q5A00001OVSLbUAP,FALSE,N/A,N/A,2020-08-20,N/A,Website,Disqualified,Open,0,0
00Q5A00001OVSMZUA5,FALSE,N/A,N/A,2020-08-20,Construction,Website,Disqualified,Open,0,0
00Q5A00001OVSMoUAP,FALSE,N/A,N/A,2020-08-20,Chemicals,Website,Nurturing,Open,0,0
00Q5A00001OVSTSUA5,TRUE,0013100001jbBzlAAE,0065A00001bKZoHQAW,2020-08-20,Banking,Prospecting Journey,Converted,Open,1,1
00Q5A00001OVSZVUA5,FALSE,N/A,N/A,2020-08-20,Apparel,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVSZpUAP,FALSE,N/A,N/A,2020-08-20,Biotechnology,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVSb7UAH,FALSE,N/A,N/A,2020-08-20,Agriculture,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVSbHUAX,FALSE,N/A,N/A,2020-08-20,N/A,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVSbWUAX,FALSE,N/A,N/A,2020-08-20,Consulting,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVSp4UAH,FALSE,N/A,N/A,2020-08-20,Banking,Website,Disqualified,Open,0,0
00Q5A00001OVT3zUAH,FALSE,N/A,N/A,2020-08-21,Chemicals,Website,Disqualified,Open,0,0
00Q5A00001OVTVSUA5,FALSE,N/A,N/A,2020-08-21,Banking,Prospecting Journey,Disqualified,Open,0,0
00Q5A00001OVTVXUA5,FALSE,N/A,N/A,2020-08-21,N/A,Prospecting Journey,Disqualified,Open,0,0
00Q5A00001OVTaXUAX,TRUE,0013100001frZqgAAE,N/A,2020-08-21,Banking,Prospecting Journey,Converted,Open,1,0
00Q5A00001OVTpQUAX,TRUE,0015A00002JMtRnQAL,N/A,2020-08-21,Construction,Website,Converted,Open,1,0
00Q5A00001OVTx0UAH,FALSE,N/A,N/A,2020-08-21,Biotechnology,Prospecting Journey,Disqualified,Open,0,0
00Q5A00001OVU2jUAH,FALSE,N/A,N/A,2020-08-21,Apparel,Website,MQL,Open,0,0
00Q5A00001OVXgCUAX,FALSE,N/A,N/A,2020-08-25,Apparel,Advertisement,Nurturing,Open,0,0
00Q5A00001OVXrUUAX,TRUE,0015A00002OKvDwQAL,N/A,2020-08-25,Apparel,Website,Converted,Open,1,0
00Q5A00001OVXrVUAX,FALSE,N/A,N/A,2020-08-25,Consulting,Website,Nurturing,Open,0,0
00Q5A00001OVXuYUAX,FALSE,N/A,N/A,2020-08-25,N/A,Website,Nurturing,Open,0,0
00Q5A00001OVXx3UAH,FALSE,N/A,N/A,2020-08-25,Chemicals,Website,Nurturing,Open,0,0
00Q5A00001OVYdNUAX,FALSE,N/A,N/A,2020-08-26,Agriculture,Prospecting Journey,MQL,Open,0,0
00Q5A00001OVYdcUAH,FALSE,N/A,N/A,2020-08-26,Apparel,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVYddUAH,FALSE,N/A,N/A,2020-08-26,Biotechnology,Prospecting Journey,MQL,Open,0,0
00Q5A00001OVYdwUAH,FALSE,N/A,N/A,2020-08-26,N/A,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVYeBUAX,FALSE,N/A,N/A,2020-08-26,Chemicals,Prospecting Journey,MQL,Open,0,0
00Q5A00001OVYgHUAX,TRUE,0013100001jZUpIAAW,N/A,2020-08-26,Banking,Website,Converted,Open,1,0
00Q5A00001OVYh5UAH,FALSE,N/A,N/A,2020-08-26,N/A,Prospecting Journey,MQL,Open,0,0
00Q5A00001OVYhoUAH,FALSE,N/A,N/A,2020-08-26,Communications,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVZ2LUAX,FALSE,N/A,N/A,2020-08-26,Consulting,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVZN0UAP,TRUE,0015A00002OKrU9QAL,N/A,2020-08-27,Chemicals,Referral,Converted,Open,1,0
00Q5A00001OVZhyUAH,TRUE,0015A00002TB5RgQAL,0065A00001cqAPCQA2,2020-08-27,Banking,Prospecting Journey,Converted,Open,1,1
00Q5A00001OVZqSUAX,FALSE,N/A,N/A,2020-08-27,Agriculture,Advertisement,Nurturing,Open,0,0
00Q5A00001OVZuFUAX,FALSE,N/A,N/A,2020-08-27,Banking,Advertisement,Nurturing,Open,0,0
00Q5A00001OVa1BUAT,TRUE,0015A00002HcMBNQA3,0065A00001Z0PkEQAV,2020-08-27,Banking,Field Sales,Converted,Open,1,1
00Q5A00001OVa37UAD,TRUE,0015A00002HcMBNQA3,0065A00001Z0PkEQAV,2020-08-27,Biotechnology,Field Sales,Converted,Open,1,1
00Q5A00001OVa7dUAD,TRUE,0013100001jStVZAA0,0065A00001ZPz5ZQAT,2020-08-27,N/A,Field Sales,Converted,Open,1,1
00Q5A00001OVaeiUAD,FALSE,N/A,N/A,2020-08-28,Chemicals,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVaoYUAT,FALSE,N/A,N/A,2020-08-28,Communications,Referral,Nurturing,Open,0,0
00Q5A00001OVb2AUAT,TRUE,0013100001jbTegAAE,N/A,2020-08-28,Biotechnology,Website,Converted,Open,1,0
00Q5A00001OVbLLUA1,FALSE,N/A,N/A,2020-08-28,Communications,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVbP8UAL,TRUE,0013100001jbTegAAE,N/A,2020-08-28,Apparel,Website,Converted,Open,1,0
00Q5A00001OVcG3UAL,FALSE,N/A,N/A,2020-08-31,Chemicals,Website,Nurturing,Open,0,0
00Q5A00001OVcLDUA1,FALSE,N/A,N/A,2020-08-31,Retail,Website,Nurturing,Open,0,0
00Q5A00001OVcPFUA1,FALSE,N/A,N/A,2020-08-31,N/A,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcPGUA1,FALSE,N/A,N/A,2020-08-31,Biotechnology,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcPHUA1,FALSE,N/A,N/A,2020-08-31,Consulting,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcPIUA1,FALSE,N/A,N/A,2020-08-31,N/A,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcPUUA1,FALSE,N/A,N/A,2020-08-31,Agriculture,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQXUA1,FALSE,N/A,N/A,2020-08-31,Agriculture,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQYUA1,FALSE,N/A,N/A,2020-08-31,Banking,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQZUA1,FALSE,N/A,N/A,2020-08-31,Consulting,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQaUAL,FALSE,N/A,N/A,2020-08-31,Banking,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQbUAL,FALSE,N/A,N/A,2020-08-31,Communications,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQcUAL,FALSE,N/A,N/A,2020-08-31,Banking,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQdUAL,FALSE,N/A,N/A,2020-08-31,Agriculture,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQeUAL,FALSE,N/A,N/A,2020-08-31,Agriculture,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQfUAL,FALSE,N/A,N/A,2020-08-31,Environmental,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQgUAL,FALSE,N/A,N/A,2020-08-31,Apparel,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQhUAL,FALSE,N/A,N/A,2020-08-31,N/A,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQiUAL,FALSE,N/A,N/A,2020-08-31,N/A,Prospecting Journey,MQL,Open,0,0
00Q5A00001OVcQjUAL,FALSE,N/A,N/A,2020-08-31,Biotechnology,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQkUAL,FALSE,N/A,N/A,2020-08-31,Biotechnology,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQlUAL,FALSE,N/A,N/A,2020-08-31,Apparel,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQmUAL,FALSE,N/A,N/A,2020-08-31,Agriculture,Prospecting Journey,MQL,Open,0,0
00Q5A00001OVcQnUAL,FALSE,N/A,N/A,2020-08-31,Agriculture,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQoUAL,FALSE,N/A,N/A,2020-08-31,Banking,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQpUAL,FALSE,N/A,N/A,2020-08-31,Chemicals,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQqUAL,FALSE,N/A,N/A,2020-08-31,Consulting,Prospecting Journey,MQL,Open,0,0
00Q5A00001OVcQrUAL,FALSE,N/A,N/A,2020-08-31,Apparel,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQsUAL,FALSE,N/A,N/A,2020-08-31,Biotechnology,Prospecting Journey,MQL,Open,0,0
00Q5A00001OVcQtUAL,FALSE,N/A,N/A,2020-08-31,Biotechnology,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQuUAL,FALSE,N/A,N/A,2020-08-31,Biotechnology,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQvUAL,FALSE,N/A,N/A,2020-08-31,Banking,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQwUAL,FALSE,N/A,N/A,2020-08-31,Communications,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQxUAL,FALSE,N/A,N/A,2020-08-31,Biotechnology,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQyUAL,FALSE,N/A,N/A,2020-08-31,Apparel,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcQzUAL,FALSE,N/A,N/A,2020-08-31,Communications,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcR1UAL,FALSE,N/A,N/A,2020-08-31,Chemicals,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcR2UAL,FALSE,N/A,N/A,2020-08-31,Chemicals,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcR3UAL,FALSE,N/A,N/A,2020-08-31,Apparel,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcR4UAL,TRUE,0015A00002NN3zyQAD,0065A00001bBVehQAG,2020-08-31,Chemicals,Prospecting Journey,Converted,Open,1,1
00Q5A00001OVcRUUA1,FALSE,N/A,N/A,2020-08-31,Banking,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcSSUA1,FALSE,N/A,N/A,2020-08-31,Apparel,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcTGUA1,FALSE,N/A,N/A,2020-08-31,Communications,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcTaUAL,FALSE,N/A,N/A,2020-08-31,Biotechnology,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcU9UAL,TRUE,0015A00002OLn1uQAD,N/A,2020-08-31,N/A,Prospecting Journey,Converted,Open,1,0
00Q5A00001OVcUJUA1,TRUE,0015A00002OLn1uQAD,0065A00001bgsYvQAI,2020-08-31,Agriculture,Prospecting Journey,Converted,Open,1,1
00Q5A00001OVcXNUA1,FALSE,N/A,N/A,2020-08-31,Biotechnology,Website,Disqualified,Open,0,0
00Q5A00001OVcXhUAL,FALSE,N/A,N/A,2020-08-31,Apparel,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcZdUAL,TRUE,0015A00002CwwHuQAJ,N/A,2020-08-31,Agriculture,Prospecting Journey,Converted,Open,1,0
00Q5A00001OVcZeUAL,FALSE,N/A,N/A,2020-08-31,Biotechnology,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcieUAD,TRUE,0013100001gZda5AAC,N/A,2020-08-31,Apparel,Website,Converted,Open,1,0
00Q5A00001OVclsUAD,FALSE,N/A,N/A,2020-08-31,Chemicals,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVcnjUAD,FALSE,N/A,N/A,2020-08-31,Communications,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVd0YUAT,TRUE,0015A00002OLkGqQAL,0065A00001bgramQAA,2020-08-31,N/A,Prospecting Journey,Converted,Open,1,1
00Q5A00001OVd2oUAD,FALSE,N/A,N/A,2020-08-31,Biotechnology,Website,Nurturing,Open,0,0
00Q5A00001OVd38UAD,FALSE,N/A,N/A,2020-08-31,Biotechnology,Inside Sales,Nurturing,Open,0,0
00Q5A00001OVd4aUAD,FALSE,N/A,N/A,2020-08-31,Chemicals,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVd5EUAT,FALSE,N/A,N/A,2020-08-31,Agriculture,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVd5xUAD,FALSE,N/A,N/A,2020-08-31,Apparel,Prospecting Journey,Nurturing,Open,0,0
00Q5A00001OVd9pUAD,FALSE,N/A,N/A,2020-08-31,Communications,Website,Nurturing,Open,0,0
00Q5A00001OVdAJUA1,FALSE,N/A,N/A,2020-08-31,Chemicals,Advertisement,Nurturing,Open,0,0
00Q5A00001OVdJLUA1,FALSE,N/A,N/A,2020-08-31,Banking,Prospecting Journey,Disqualified,Open,0,0
