Account_ID,Created_by_ID,Created_Date,Industry
0013100001envATAAY,00531000007KAsvAAG,2016-02-23,Hospitality
0013100001envD8AAI,00531000007KAsvAAG,2016-02-23,Hospitality
0013100001envFYAAY,005i0000002Zi8JAAS,2015-03-20,Telecommunications
0013100001envhIAAQ,00531000007KAsvAAG,2016-02-23,Education
0013100001envvBAAQ,00531000007KAsvAAG,2016-02-23,Education
0013100001enw4SAAQ,00531000007KAsvAAG,2016-02-23,Telecommunications
0013100001enw77AAA,00531000007KAsvAAG,2016-02-23,Telecommunications
0013100001enwXDAAY,00531000006uPsjAAE,2016-02-23,Telecommunications
0013100001enwqoAAA,00531000007KAsvAAG,2016-02-23,Telecommunications
0013100001enyrYAAQ,00531000007M2hjAAC,2016-02-23,Telecommunications
0013100001eo2nrAAA,00531000007MUoEAAW,2016-02-24,Telecommunications
0013100001eo2nwAAA,00531000007MUoEAAW,2016-02-24,Telecommunications
0013100001eo3U7AAI,00531000007KAsvAAG,2016-02-24,Telecommunications
0013100001eo6iZAAQ,00531000007M2hjAAC,2016-02-24,Telecommunications
0013100001eo7KyAAI,00531000007KAsvAAG,2016-02-24,Telecommunications
0013100001eoCkhAAE,00531000007MUoEAAW,2016-02-25,Telecommunications
0013100001eoCmnAAE,00531000007MUoEAAW,2016-02-25,Telecommunications
0013100001eoCq6AAE,00531000007KAsvAAG,2016-02-25,Transportation
0013100001eoD3PAAU,00531000007MUoEAAW,2016-02-25,Transportation
0013100001eoD4NAAU,00531000007MUoEAAW,2016-02-25,Transportation
0013100001eoD8oAAE,00531000007MUoEAAW,2016-02-25,Transportation
0013100001eoDBsAAM,00531000007MUoEAAW,2016-02-25,Transportation
0013100001eoDD5AAM,00531000007MUoEAAW,2016-02-25,Transportation
0013100001eoDKBAA2,00531000007MUoEAAW,2016-02-25,Transportation
0013100001eoDLdAAM,00531000007MUoEAAW,2016-02-25,Transportation
0013100001eoDWMAA2,00531000007MUoEAAW,2016-02-25,Transportation
0013100001eoDYmAAM,00531000007MUoEAAW,2016-02-25,Agriculture
0013100001eoDfdAAE,00531000007MUoEAAW,2016-02-25,Agriculture
0013100001eoDgWAAU,00531000007MUoEAAW,2016-02-25,Construction
0013100001eoDnSAAU,00531000007MUoEAAW,2016-02-25,Construction
0013100001eoDq2AAE,00531000007MUoEAAW,2016-02-25,Construction
0013100001eoDrUAAU,00531000007MUoEAAW,2016-02-25,Consulting
0013100001fpDoUAAU,00531000007MUoEAAW,2016-02-26,Agriculture
0013100001fpDpIAAU,00531000007MUoEAAW,2016-02-26,Agriculture
0013100001fpKktAAE,00531000007KAu8AAG,2016-02-26,Agriculture
0013100001fpjb7AAA,00531000007MUoEAAW,2016-03-01,Agriculture
0013100001fpjcAAAQ,00531000007MUoEAAW,2016-03-01,Agriculture
0013100001fpjwoAAA,00531000007KAu8AAG,2016-03-01,Agriculture
0013100001fpk4nAAA,00531000007KAu8AAG,2016-03-01,Agriculture
0013100001fpkhzAAA,00531000007MUoEAAW,2016-03-01,Agriculture
0013100001fpkiiAAA,00531000007MUoEAAW,2016-03-01,Agriculture
0013100001fpkm1AAA,00531000007MUoEAAW,2016-03-01,Agriculture
0013100001fpkn9AAA,00531000007MUoEAAW,2016-03-01,Agriculture
0013100001fpkptAAA,00531000007MUoEAAW,2016-03-01,Agriculture
0013100001fpkr2AAA,00531000007MUoEAAW,2016-03-01,Agriculture
0013100001fpkwYAAQ,00531000007KAu8AAG,2016-03-01,Agriculture
0013100001fpl1nAAA,00531000007MUoEAAW,2016-03-01,Agriculture
0013100001fpl2gAAA,00531000007MUoEAAW,2016-03-01,Agriculture
0013100001fplDZAAY,00531000007MUoEAAW,2016-03-01,Apparel
0013100001fplEXAAY,00531000007MUoEAAW,2016-03-01,Apparel
0013100001fplPfAAI,00531000007MUoEAAW,2016-03-01,Apparel
0013100001fplWqAAI,00531000007MUoEAAW,2016-03-01,Apparel
0013100001fpldrAAA,00531000007MUoEAAW,2016-03-01,Apparel
0013100001fplhyAAA,00531000007MUoEAAW,2016-03-01,Apparel
0013100001fplpiAAA,00531000007MUoEAAW,2016-03-01,Banking
0013100001fplr0AAA,00531000007MUoEAAW,2016-03-01,Banking
0013100001fpm2NAAQ,00531000007MUoEAAW,2016-03-01,Banking
0013100001fpm6ZAAQ,00531000007MUoEAAW,2016-03-01,Banking
0013100001fpm7XAAQ,00531000007MUoEAAW,2016-03-01,Consulting
0013100001fpmARAAY,00531000007MUoEAAW,2016-03-01,Consulting
0013100001fpmBZAAY,00531000007MUoEAAW,2016-03-01,Consulting
0013100001fpmEnAAI,00531000007MUoEAAW,2016-03-01,Consulting
0013100001fpmGAAAY,00531000007MUoEAAW,2016-03-01,Education
0013100001fpspDAAQ,00531000007MUoEAAW,2016-03-02,Education
0013100001fpsq6AAA,00531000007MUoEAAW,2016-03-02,Education
0013100001fpsvkAAA,00531000007MUoEAAW,2016-03-02,Education
0013100001fpswTAAQ,00531000007MUoEAAW,2016-03-02,Education
0013100001fpt56AAA,00531000007MUoEAAW,2016-03-02,Education
0013100001fpt5aAAA,00531000007MUoEAAW,2016-03-02,Education
0013100001fptFBAAY,00531000007MUoEAAW,2016-03-02,Education
0013100001fptGdAAI,00531000007MUoEAAW,2016-03-02,Education
0013100001fptQyAAI,00531000007MUoEAAW,2016-03-02,Electronics
0013100001fptk2AAA,00531000007MUoEAAW,2016-03-02,Electronics
0013100001fptmIAAQ,00531000007MUoEAAW,2016-03-02,Electronics
0013100001fpu0XAAQ,00531000007MUoEAAW,2016-03-02,Electronics
0013100001fpu1VAAQ,00531000007MUoEAAW,2016-03-02,Electronics
0013100001fpuFNAAY,00531000007MUoEAAW,2016-03-02,Biotechnology
0013100001fpuHYAAY,00531000007MUoEAAW,2016-03-02,Banking
0013100001fpuM4AAI,00531000007MUoEAAW,2016-03-02,Banking
0013100001fpv8pAAA,00531000007MUoEAAW,2016-03-02,Banking
0013100001fpv9iAAA,00531000007MUoEAAW,2016-03-02,Banking
0013100001fpvCmAAI,00531000007MUoEAAW,2016-03-02,Banking
0013100001fpvGZAAY,00531000007MUoEAAW,2016-03-02,Banking
0013100001fpvYTAAY,00531000007MUoEAAW,2016-03-02,Banking
0013100001fpvb8AAA,00531000007MUoEAAW,2016-03-02,Banking
0013100001fpvc6AAA,00531000007MUoEAAW,2016-03-02,Banking
0013100001fpvmVAAQ,00531000007MUoEAAW,2016-03-02,Banking
0013100001fpvvrAAA,005i0000000fNkyAAE,2016-03-02,Biotechnology
0013100001fpvw6AAA,00531000007MUoEAAW,2016-03-02,Biotechnology
0013100001fpw9FAAQ,00531000007MUoEAAW,2016-03-02,Biotechnology
0013100001fpwADAAY,00531000007MUoEAAW,2016-03-02,Biotechnology
0013100001fpxOAAAY,00531000007KAsvAAG,2016-03-02,Biotechnology
0013100001fpxT5AAI,00531000007KAsvAAG,2016-03-02,Biotechnology
0013100001fpyoxAAA,005i0000000fNkyAAE,2016-03-03,Biotechnology
0013100001fpz8iAAA,005i0000000fNkyAAE,2016-03-03,Electronics
0013100001fq38eAAA,00531000007KAu8AAG,2016-03-03,Electronics
0013100001fq3DaAAI,00531000007MUoEAAW,2016-03-03,Electronics
0013100001fq3MNAAY,00531000007MUoEAAW,2016-03-03,Electronics
0013100001fq3NQAAY,00531000007MUoEAAW,2016-03-03,Energy
0013100001fq3SBAAY,00531000007MUoEAAW,2016-03-03,Energy
0013100001fq43HAAQ,00531000007MUoEAAW,2016-03-03,Energy
0013100001fq440AAA,00531000007MUoEAAW,2016-03-03,Energy
0013100001fq4EAAAY,00531000007MUoEAAW,2016-03-03,Energy
0013100001fq4EyAAI,00531000007MUoEAAW,2016-03-03,Energy
0013100001fqC0yAAE,00531000007MUoEAAW,2016-03-04,Energy
0013100001fqC1mAAE,00531000007MUoEAAW,2016-03-04,Energy
0013100001fqCK1AAM,00531000007MUoEAAW,2016-03-04,Energy
0013100001fqCKfAAM,00531000007MUoEAAW,2016-03-04,Energy
0013100001fqCSjAAM,00531000007MUoEAAW,2016-03-04,Energy
0013100001fqCTSAA2,00531000007MUoEAAW,2016-03-04,Energy
0013100001fqEj6AAE,00531000007KAsvAAG,2016-03-04,Energy
0013100001fqO6KAAU,00531000007KAu8AAG,2016-03-06,Biotechnology
0013100001fqvwqAAA,00531000007M2hjAAC,2016-03-10,Biotechnology
0013100001fqw6MAAQ,00531000007M2hjAAC,2016-03-10,Biotechnology
0013100001fqwMtAAI,00531000007KAsvAAG,2016-03-10,Biotechnology
0013100001fqwwcAAA,00531000007M2hjAAC,2016-03-10,Biotechnology
0013100001fqwyfAAA,00531000007M2hjAAC,2016-03-10,Biotechnology
0013100001fqyXRAAY,00531000007M2hjAAC,2016-03-10,Biotechnology
0013100001fqycHAAQ,00531000007M2hjAAC,2016-03-10,Biotechnology
0013100001fqyfkAAA,00531000007M2hjAAC,2016-03-10,Biotechnology
0013100001fqyo3AAA,00531000007KAu8AAG,2016-03-10,Biotechnology
0013100001fqypQAAQ,00531000007M2hjAAC,2016-03-10,Biotechnology
0013100001fqz0JAAQ,00531000007M2hjAAC,2016-03-10,Biotechnology
0013100001fr6f6AAA,00531000007M2hjAAC,2016-03-11,Biotechnology
0013100001fr6iKAAQ,00531000007M2hjAAC,2016-03-11,Biotechnology
0013100001fr77jAAA,00531000007M2hjAAC,2016-03-11,Chemicals
0013100001fr79BAAQ,00531000007M2hjAAC,2016-03-11,Chemicals
0013100001fr7BlAAI,00531000007M2hjAAC,2016-03-11,Energy
0013100001fr7DDAAY,00531000007M2hjAAC,2016-03-11,Energy
0013100001fr7EaAAI,00531000007M2hjAAC,2016-03-11,Energy
0013100001fr7ISAAY,00531000007M2hjAAC,2016-03-11,Energy
0013100001frK2lAAE,00531000007KAu8AAG,2016-03-14,Energy
0013100001frKBoAAM,00531000007KAsvAAG,2016-03-14,Hospitality
0013100001frMxsAAE,00531000007KgPgAAK,2016-03-14,Hospitality
0013100001frUAUAA2,00531000007KAu8AAG,2016-03-15,Hospitality
0013100001frUCVAA2,00531000007KAu8AAG,2016-03-15,Hospitality
0013100001frZqgAAE,00531000007M2hjAAC,2016-03-16,Hospitality
0013100001frnRWAAY,00531000007KAsvAAG,2016-03-17,Telecommunications
0013100001frv0jAAA,00531000007KgPgAAK,2016-03-18,Telecommunications
0013100001frxefAAA,00531000007KAu8AAG,2016-03-18,Telecommunications
0013100001frxpYAAQ,00531000007KAu8AAG,2016-03-18,Telecommunications
0013100001fs0lgAAA,00531000007KgPgAAK,2016-03-19,Telecommunications
0013100001fsBp7AAE,00531000007KAu8AAG,2016-03-21,Telecommunications
0013100001fsGopAAE,00531000007KAu8AAG,2016-03-22,Telecommunications
0013100001fsGr5AAE,00531000007KAu8AAG,2016-03-22,Telecommunications
0013100001fsOeFAAU,00531000007M2hjAAC,2016-03-22,Telecommunications
0013100001fsZG4AAM,00531000007MUoEAAW,2016-03-23,Telecommunications
0013100001fscRSAAY,00531000007KgPgAAK,2016-03-24,Telecommunications
0013100001fscbNAAQ,00531000007KgPgAAK,2016-03-24,Chemicals
0013100001fscftAAA,00531000007KgPgAAK,2016-03-24,Chemicals
0013100001fshcEAAQ,00531000007KAsvAAG,2016-03-24,Chemicals
0013100001fshyPAAQ,00531000007KAsvAAG,2016-03-24,Chemicals
0013100001fsoMaAAI,00531000007M2hjAAC,2016-03-25,Chemicals
0013100001fsoNJAAY,00531000007M2hjAAC,2016-03-25,Communications
0013100001ft4Y6AAI,00531000007KAsvAAG,2016-03-28,Communications
0013100001ft4h3AAA,00531000007KAsvAAG,2016-03-28,Communications
0013100001ft4tyAAA,00531000007KAsvAAG,2016-03-28,Communications
0013100001ftCmJAAU,00531000007KAsvAAG,2016-03-29,Communications
0013100001ftJMpAAM,00531000007KAu8AAG,2016-03-30,Communications
0013100001gW6fvAAC,00531000007KAu8AAG,2016-04-15,Communications
0013100001gWWASAA4,005i0000000fNkyAAE,2016-04-15,Communications
0013100001gWmHJAA0,00531000007KgPgAAK,2016-04-18,Communications
0013100001gWqEiAAK,00531000007KAu8AAG,2016-04-18,Communications
0013100001gWxm7AAC,00531000007KAu8AAG,2016-04-19,Communications
0013100001gWxtDAAS,00531000007KAu8AAG,2016-04-19,Communications
0013100001gX3xZAAS,00531000007MUoEAAW,2016-04-19,Communications
0013100001gX3y3AAC,00531000007MUoEAAW,2016-04-19,Communications
0013100001gX4A9AAK,005i0000000fNkyAAE,2016-04-19,Communications
0013100001gX5KSAA0,00531000007KAu8AAG,2016-04-20,Communications
0013100001gX5LzAAK,00531000007KAu8AAG,2016-04-20,Telecommunications
0013100001gX5PDAA0,00531000007KAu8AAG,2016-04-20,Telecommunications
0013100001gX9DpAAK,00531000007KgPgAAK,2016-04-20,Telecommunications
0013100001gXqdHAAS,00531000007KAu8AAG,2016-04-21,Telecommunications
0013100001gXzhqAAC,00531000007MUoEAAW,2016-04-22,Transportation
0013100001gXzj8AAC,00531000007MUoEAAW,2016-04-22,Transportation
0013100001gY05nAAC,00531000007MUoEAAW,2016-04-22,Transportation
0013100001gY06vAAC,00531000007MUoEAAW,2016-04-22,Transportation
0013100001gY0KiAAK,00531000007MUoEAAW,2016-04-22,Transportation
0013100001gY0MFAA0,00531000007MUoEAAW,2016-04-22,Transportation
0013100001gYA7VAAW,00531000007KAu8AAG,2016-04-24,Communications
0013100001gYGSGAA4,00531000007KAsvAAG,2016-04-25,Communications
0013100001gYGsJAAW,00531000007KAsvAAG,2016-04-25,Communications
0013100001gYHgUAAW,00531000007KAsvAAG,2016-04-25,Communications
0013100001gYHjnAAG,00531000007KAsvAAG,2016-04-25,Communications
0013100001gYI3JAAW,00531000007KAsvAAG,2016-04-25,Communications
0013100001gYIRGAA4,00531000007KAsvAAG,2016-04-25,Communications
0013100001gYObWAAW,00531000007KAu8AAG,2016-04-25,Communications
0013100001gYPr1AAG,00531000007KAu8AAG,2016-04-26,Communications
0013100001gYkwAAAS,00531000007KAsvAAG,2016-04-27,Communications
0013100001gYm2TAAS,00531000007KAsvAAG,2016-04-27,Communications
0013100001gYwMYAA0,00531000007KAsvAAG,2016-04-28,Communications
0013100001gZM1jAAG,00531000007KAsvAAG,2016-03-31,Communications
0013100001gZM8aAAG,00531000007KAsvAAG,2016-03-31,Communications
0013100001gZMMwAAO,00531000007KAsvAAG,2016-03-31,Communications
0013100001gZPevAAG,00531000007KAsvAAG,2016-03-31,Communications
0013100001gZPvJAAW,00531000007KAsvAAG,2016-03-31,Construction
0013100001gZQMFAA4,00531000007KAsvAAG,2016-03-31,Construction
0013100001gZQZ9AAO,00531000007KgPgAAK,2016-03-31,Construction
0013100001gZQabAAG,00531000007KAsvAAG,2016-03-31,Construction
0013100001gZQpqAAG,00531000007KAsvAAG,2016-03-31,Construction
0013100001gZRUZAA4,00531000007KAsvAAG,2016-03-31,Agriculture
0013100001gZS48AAG,00531000007KAsvAAG,2016-03-31,Agriculture
0013100001gZSbvAAG,00531000007KAsvAAG,2016-03-31,Agriculture
0013100001gZUNgAAO,00531000007KAsvAAG,2016-03-31,Agriculture
0013100001gZcQJAA0,00531000007KAsvAAG,2016-04-01,Agriculture
0013100001gZd3uAAC,00531000007KAu8AAG,2016-04-01,Agriculture
0013100001gZda5AAC,00531000007KAu8AAG,2016-04-01,Agriculture
0013100001gZeDCAA0,00531000007KAsvAAG,2016-04-01,Agriculture
0013100001gZsSEAA0,00531000007KAsvAAG,2016-04-03,Agriculture
0013100001ga6ICAAY,00531000007KAsvAAG,2016-04-04,Agriculture
0013100001ga6VQAAY,00531000007KAsvAAG,2016-04-04,Agriculture
0013100001ga6gxAAA,00531000007KAsvAAG,2016-04-04,Agriculture
0013100001gaFSgAAM,00531000007KAsvAAG,2016-04-05,Apparel
0013100001gaSbbAAE,00531000007KAsvAAG,2016-04-06,Apparel
0013100001gaTySAAU,00531000007KAu8AAG,2016-04-06,Apparel
0013100001gaaGSAAY,00531000007KAsvAAG,2016-04-07,Apparel
0013100001gadFTAAY,00531000007KAsvAAG,2016-04-07,Apparel
0013100001gadWkAAI,00531000007KAsvAAG,2016-04-07,Apparel
0013100001gadnCAAQ,00531000007KAsvAAG,2016-04-07,Apparel
0013100001gae8jAAA,00531000007KAsvAAG,2016-04-07,Apparel
0013100001gaq7yAAA,00531000007M2hjAAC,2016-04-08,Apparel
0013100001gawnXAAQ,00531000007KgPgAAK,2016-04-09,Apparel
0013100001gbGGrAAM,00531000007KgPgAAK,2016-04-12,Apparel
0013100001gbOlhAAE,00531000007KAu8AAG,2016-04-12,Apparel
0013100001gbWzMAAU,00531000007M2hjAAC,2016-04-13,Construction
0013100001gbb7YAAQ,00531000007KAu8AAG,2016-04-13,Construction
0013100001gbj6NAAQ,005i0000000fNkyAAE,2016-04-14,Construction
0013100001gbmM9AAI,00531000007KAu8AAG,2016-04-14,Construction
0013100001gvwMjAAI,00531000007KAsvAAG,2016-05-19,Construction
0013100001gvwZsAAI,00531000007KAsvAAG,2016-05-19,Construction
0013100001gvwenAAA,00531000007KAsvAAG,2016-05-19,Construction
0013100001gvwklAAA,00531000007KAsvAAG,2016-05-19,Construction
0013100001gw2U2AAI,00531000007KAsvAAG,2016-05-20,Construction
0013100001gw2hkAAA,00531000007KAsvAAG,2016-05-20,Construction
0013100001gw2iEAAQ,005i0000000fNkyAAE,2016-05-20,Construction
0013100001gw3W4AAI,00531000007KAsvAAG,2016-05-20,Construction
0013100001gw4vcAAA,00531000007KAsvAAG,2016-05-20,Construction
0013100001gw5O5AAI,00531000007KgPgAAK,2016-05-20,Consulting
0013100001gwKi1AAE,005i0000000fNkyAAE,2016-05-23,Consulting
0013100001gwaUPAAY,00531000007KAu8AAG,2016-05-24,Consulting
0013100001gwwcMAAQ,00531000007MUoEAAW,2016-05-26,Consulting
0013100001gwzgtAAA,00531000007KAu8AAG,2016-05-26,Consulting
0013100001gx5w8AAA,00531000007KAsvAAG,2016-05-27,Consulting
0013100001gxRn4AAE,00531000007KAsvAAG,2016-05-30,Consulting
0013100001gxRq8AAE,00531000007KAsvAAG,2016-05-30,Biotechnology
0013100001gxYfpAAE,00531000007KAsvAAG,2016-05-31,Biotechnology
0013100001gxZ7aAAE,00531000007KAsvAAG,2016-05-31,Biotechnology
0013100001gxbu3AAA,00531000007MUoEAAW,2016-05-31,Electronics
0013100001gxc3HAAQ,00531000007MUoEAAW,2016-05-31,Electronics
0013100001gxc5IAAQ,00531000007MUoEAAW,2016-05-31,Energy
0013100001gxcBvAAI,00531000007MUoEAAW,2016-05-31,Energy
0013100001gxcCPAAY,00531000007MUoEAAW,2016-05-31,Energy
0013100001gxcGvAAI,00531000007MUoEAAW,2016-05-31,Energy
0013100001gxcZ9AAI,00531000007MUoEAAW,2016-05-31,Energy
0013100001gxcbFAAQ,00531000007MUoEAAW,2016-05-31,Energy
0013100001gxcjdAAA,00531000007MUoEAAW,2016-05-31,Energy
0013100001gxkInAAI,00531000007KAsvAAG,2016-06-01,Energy
0013100001gyARcAAM,00531000007MUoEAAW,2016-06-03,Energy
0013100001gyAbcAAE,00531000007MUoEAAW,2016-06-03,Energy
0013100001gyAvIAAU,00531000007MUoEAAW,2016-06-03,Energy
0013100001gyB7wAAE,00531000007MUoEAAW,2016-06-03,Energy
0013100001gyBFqAAM,00531000007MUoEAAW,2016-06-03,Energy
0013100001gyBGyAAM,00531000007MUoEAAW,2016-06-03,Energy
0013100001gyBKbAAM,00531000007MUoEAAW,2016-06-03,Energy
0013100001gyBOiAAM,00531000007MUoEAAW,2016-06-03,Energy
0013100001gyBQFAA2,00531000007MUoEAAW,2016-06-03,Energy
0013100001gyBWcAAM,00531000007MUoEAAW,2016-06-03,Energy
0013100001hmuqXAAQ,00531000007KAsvAAG,2016-05-02,Energy
0013100001hmv3CAAQ,00531000007KAsvAAG,2016-05-02,Energy
0013100001hmv4ZAAQ,00531000007KAsvAAG,2016-05-02,Biotechnology
0013100001hmv6GAAQ,00531000007KAsvAAG,2016-05-02,Biotechnology
0013100001hmvEPAAY,00531000007KAsvAAG,2016-05-02,Biotechnology
0013100001hmvJjAAI,00531000007KAsvAAG,2016-05-02,Biotechnology
0013100001hmvU8AAI,00531000007KAsvAAG,2016-05-02,Biotechnology
0013100001hmvbYAAQ,00531000007KAsvAAG,2016-05-02,Consulting
0013100001hmwrmAAA,00531000007KAu8AAG,2016-05-02,Energy
0013100001hn662AAA,00531000007KAu8AAG,2016-05-03,Transportation
0013100001hn7SQAAY,00531000007KAsvAAG,2016-05-03,Biotechnology
0013100001hn7pDAAQ,00531000007KAsvAAG,2016-05-03,Hospitality
0013100001hn9oQAAQ,00531000007KAsvAAG,2016-05-03,Energy
0013100001hnInEAAU,00531000007KAsvAAG,2016-05-04,Energy
0013100001hnxMmAAI,00531000007KAu8AAG,2016-05-07,Hospitality
0013100001ho1gNAAQ,00531000007KAu8AAG,2016-05-07,Electronics
0013100001ho1pKAAQ,00531000007KAu8AAG,2016-05-07,Education
0013100001ho6BfAAI,00531000007KAu8AAG,2016-05-08,Construction
0013100001ho6TMAAY,00531000007KAu8AAG,2016-05-08,Transportation
0013100001hoCcAAAU,00531000007KAu8AAG,2016-05-09,Biotechnology
0013100001hoCikAAE,00531000007KAu8AAG,2016-05-09,Biotechnology
0013100001hoELeAAM,00531000007KAsvAAG,2016-05-09,Hospitality
0013100001hoG0IAAU,00531000007KAsvAAG,2016-05-09,Hospitality
0013100001hoMrhAAE,00531000007KAsvAAG,2016-05-09,Hospitality
0013100001hofGrAAI,00531000007KAu8AAG,2016-05-11,Hospitality
0013100001hoiQCAAY,00531000007KAu8AAG,2016-05-11,Telecommunications
0013100001hovgaAAA,00531000007KAsvAAG,2016-05-12,Telecommunications
0013100001hoxTfAAI,00531000007KAsvAAG,2016-05-12,Telecommunications
0013100001hozvPAAQ,00531000007MUoEAAW,2016-05-12,Telecommunications
0013100001hpG3dAAE,00531000007KgPgAAK,2016-05-13,Telecommunications
0013100001hpQOkAAM,00531000007KAsvAAG,2016-05-15,Telecommunications
0013100001hpVDsAAM,00531000007KAsvAAG,2016-05-16,Telecommunications
0013100001hpZuSAAU,00531000007KAsvAAG,2016-05-16,Telecommunications
0013100001hphcmAAA,00531000007KAsvAAG,2016-05-17,Telecommunications
0013100001hpiYiAAI,00531000007KAsvAAG,2016-05-17,Telecommunications
0013100001jStVZAA0,00531000007KAu8AAG,2016-08-03,Telecommunications
0013100001jSwODAA0,00531000007KAu8AAG,2016-08-03,Telecommunications
0013100001jXx52AAC,00531000007KAsvAAG,2016-06-06,Telecommunications
0013100001jXxJ9AAK,00531000007KgPgAAK,2016-06-06,Telecommunications
0013100001jXxoYAAS,00531000007KgPgAAK,2016-06-06,Telecommunications
0013100001jY5W5AAK,00531000007KAsvAAG,2016-06-07,Transportation
0013100001jY8d2AAC,00531000007KAsvAAG,2016-06-07,Transportation
0013100001jY8uIAAS,00531000007MUoEAAW,2016-06-07,Transportation
0013100001jY8wEAAS,00531000007MUoEAAW,2016-06-07,Transportation
0013100001jY8xCAAS,00531000006uPsjAAE,2016-06-07,Energy
0013100001jY92bAAC,00531000006uPsjAAE,2016-06-07,Electronics
0013100001jY9FuAAK,00531000007MUoEAAW,2016-06-07,Electronics
0013100001jY9HRAA0,00531000007MUoEAAW,2016-06-07,Energy
0013100001jY9ItAAK,00531000007MUoEAAW,2016-06-07,Hospitality
0013100001jY9JXAA0,00531000007MUoEAAW,2016-06-07,Energy
0013100001jY9KBAA0,00531000007MUoEAAW,2016-06-07,Education
0013100001jY9L4AAK,00531000007MUoEAAW,2016-06-07,Transportation
0013100001jY9LsAAK,00531000007MUoEAAW,2016-06-07,Education
0013100001jY9NtAAK,00531000007MUoEAAW,2016-06-07,Apparel
0013100001jY9PBAA0,00531000007MUoEAAW,2016-06-07,Energy
0013100001jY9RgAAK,00531000007MUoEAAW,2016-06-07,Energy
0013100001jY9S0AAK,00531000007MUoEAAW,2016-06-07,Hospitality
0013100001jY9XtAAK,00531000007MUoEAAW,2016-06-07,Communications
0013100001jY9b2AAC,00531000007MUoEAAW,2016-06-07,Biotechnology
0013100001jY9bMAAS,00531000007MUoEAAW,2016-06-07,Energy
