Opportunity_ID,Account_ID,Close_Date,Closed,Created_Date,Fiscal_Period,Fiscal_Quarter,Fiscal_Year,Forecast_Q_Commit,Industry,Lead_Source,Opportunity_Type,Stage,Won,Amount,Expected_Amount
0063100000bgLcoAAE,0013100001fpk4nAAA,2016-05-23,TRUE,2016-03-01,2016 2,2,2016,FALSE,Energy,Field Sales,N/A,Closed Won,TRUE,5050,5050
0063100000bgVWEAA2,0013100001fpl2gAAA,2017-09-30,FALSE,2016-03-02,2017 3,3,2017,FALSE,Energy,Other,N/A,Qualified Opportunity,FALSE,65000,0
0063100000bgVvrAAE,0013100001fpkr2AAA,2017-06-30,FALSE,2016-03-02,2017 2,2,2017,FALSE,Energy,Other,N/A,Qualified Opportunity,FALSE,65000,0
0063100000bghjHAAQ,0013100001fpvvrAAA,2018-08-10,TRUE,2016-03-02,2018 3,3,2018,FALSE,Energy,Other,N/A,Closed Won,TRUE,365000,365000
0063100000bgj8fAAA,0013100001fpjwoAAA,2019-06-28,TRUE,2016-03-03,2019 2,2,2019,FALSE,Energy,Field Sales,N/A,Closed Lost,FALSE,57394,0
0063100000bgjL0AAI,0013100001fpyoxAAA,2016-09-30,TRUE,2016-03-03,2016 3,3,2016,FALSE,Energy,Other,N/A,Closed Lost,FALSE,365000,0
0063100000bgjMDAAY,0013100001fpz8iAAA,2016-09-30,TRUE,2016-03-03,2016 3,3,2016,FALSE,Hospitality,Other,N/A,Closed Lost,FALSE,365000,0
0063100000bh21SAAQ,0013100001fqO6KAAU,2016-08-03,TRUE,2016-03-06,2016 3,3,2016,FALSE,Hospitality,Referral,N/A,Closed Won,TRUE,28500,28500
0063100000bhDS6AAM,001i000001MYrYFAA1,2016-05-27,TRUE,2016-03-07,2016 2,2,2016,FALSE,Hospitality,Other,N/A,Closed Won,TRUE,101700,101700
0063100000bhVayAAE,0013100001emY1NAAU,2017-10-11,TRUE,2016-03-09,2017 4,4,2017,FALSE,Hospitality,Inside Sales,N/A,Closed Won,TRUE,137500,137500
0063100000bhY15AAE,0013100001eo6iZAAQ,2016-04-03,TRUE,2016-03-10,2016 2,2,2016,FALSE,Hospitality,Trade Show,N/A,Closed Won,TRUE,27800,27800
0063100000bhY2IAAU,0013100001enyrYAAQ,2022-06-30,TRUE,2016-03-10,2022 2,2,2022,FALSE,Hospitality,Referral,N/A,Closed Lost,FALSE,57394,0
0063100000bhY8QAAU,0013100001fqvwqAAA,2015-12-30,TRUE,2016-03-10,2015 4,4,2015,FALSE,Hospitality,Trade Show,N/A,Closed Won,TRUE,32000,32000
0063100000bhYC8AAM,0013100001fqw6MAAQ,2022-06-30,TRUE,2016-03-10,2022 2,2,2022,FALSE,Hospitality,Website,N/A,Closed Lost,FALSE,54805,0
0063100000bhYlNAAU,0013100001fqwyfAAA,2015-12-30,TRUE,2016-03-10,2015 4,4,2015,FALSE,Hospitality,Trade Show,N/A,Closed Won,TRUE,28700,28700
0063100000bhZ0mAAE,0013100001ennfGAAQ,2015-12-31,TRUE,2016-03-10,2015 4,4,2015,FALSE,Hospitality,Trade Show,N/A,Closed Won,TRUE,28300,28300
0063100000bhZiIAAU,0013100001fqyXRAAY,2015-12-31,TRUE,2016-03-10,2015 4,4,2015,FALSE,Telecommunications,Trade Show,N/A,Closed Won,TRUE,28200,28200
0063100000bhZl7AAE,0013100001fqycHAAQ,2019-12-31,TRUE,2016-03-10,2019 4,4,2019,FALSE,Education,Referral,N/A,Closed Lost,FALSE,72600,0
0063100000bhZnSAAU,0013100001fqyfkAAA,2015-12-31,TRUE,2016-03-10,2015 4,4,2015,FALSE,Education,Trade Show,N/A,Closed Won,TRUE,1600,1600
0063100000bhZrTAAU,0013100001fqylOAAQ,2017-12-29,TRUE,2016-03-10,2017 4,4,2017,FALSE,Telecommunications,Field Sales,N/A,Closed Lost,FALSE,0,0
0063100000bhZsCAAU,0013100001fqymHAAQ,2019-04-23,TRUE,2016-03-10,2019 2,2,2019,FALSE,Telecommunications,Field Sales,N/A,Closed Lost,FALSE,0,0
0063100000bhZtPAAU,0013100001fqyo3AAA,2019-06-28,TRUE,2016-03-10,2019 2,2,2019,FALSE,Telecommunications,Field Sales,N/A,Closed Lost,FALSE,29500,0
0063100000bhZuYAAU,0013100001fqypQAAQ,2015-12-31,TRUE,2016-03-10,2015 4,4,2015,FALSE,Telecommunications,Trade Show,N/A,Closed Won,TRUE,28500,28500
0063100000bha3VAAQ,0013100001puTb4AAE,2016-03-03,TRUE,2016-03-10,2016 1,1,2016,FALSE,Telecommunications,Website,N/A,Closed Won,TRUE,32000,32000
0063100000bhfhLAAQ,0013100001fr6f6AAA,2021-12-17,FALSE,2016-03-11,2021 4,4,2021,FALSE,Telecommunications,Referral,N/A,Funnel,FALSE,50650,2532.5
0063100000bhfjCAAQ,0013100001fr6iKAAQ,2018-02-21,TRUE,2016-03-11,2018 1,1,2018,FALSE,Telecommunications,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000bhg3KAAQ,0013100001fr79BAAQ,2017-03-28,TRUE,2016-03-11,2017 1,1,2017,FALSE,Telecommunications,Referral,N/A,Closed Won,TRUE,52306,52306
0063100000bhoZuAAI,0013100001fpjwoAAA,2018-09-28,TRUE,2016-03-14,2018 3,3,2018,FALSE,Telecommunications,Sales Seminar,N/A,Closed Lost,FALSE,57394,0
0063100000bhoapAAA,0015A00001taY3xQAE,2018-12-28,TRUE,2016-03-14,2018 4,4,2018,FALSE,Telecommunications,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000bhob4AAA,0013100001qvZsSAAU,2018-12-31,TRUE,2016-03-14,2018 4,4,2018,FALSE,Telecommunications,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000bhpm7AAA,0013100001frMxsAAE,2016-03-31,TRUE,2016-03-14,2016 1,1,2016,FALSE,Telecommunications,Other,N/A,Closed Lost,FALSE,0,0
0063100000bhpn5AAA,0013100001frMxsAAE,2020-12-31,FALSE,2016-03-14,2020 4,4,2020,FALSE,Transportation,Advertisement,N/A,Qualified Opportunity,FALSE,65636,6563.6
0063100000bhqA8AAI,0013100001fpsq6AAA,2017-09-30,FALSE,2016-03-14,2017 3,3,2017,FALSE,Transportation,Other,N/A,Customer Assessment w/ Favorable Evaluation,FALSE,65000,19500
0063100000bhxkeAAA,0013100001frU9MAAU,2018-12-28,TRUE,2016-03-15,2018 4,4,2018,FALSE,Transportation,Sales Seminar,N/A,Closed Lost,FALSE,54805,0
0063100000bhxmaAAA,0013100001frUCVAA2,2021-09-30,FALSE,2016-03-15,2021 3,3,2021,FALSE,Transportation,Field Sales,N/A,Quoted Funnel,FALSE,71650,21495
0063100000bi1IPAAY,0013100001frZqgAAE,2016-04-13,TRUE,2016-03-16,2016 2,2,2016,FALSE,Transportation,Referral,N/A,Closed Won,TRUE,28500,28500
0063100000biDuuAAE,0013100001frnRWAAY,2017-03-31,TRUE,2016-03-17,2017 1,1,2017,FALSE,Transportation,Inside Sales,N/A,Closed Lost,FALSE,56500,0
0063100000biKX6AAM,0013100001frv0jAAA,2016-09-30,TRUE,2016-03-18,2016 3,3,2016,FALSE,Transportation,Advertisement,N/A,Closed Lost,FALSE,71625,0
0063100000biL1vAAE,001i000000AmGYwAAN,2016-09-30,TRUE,2016-03-18,2016 3,3,2016,FALSE,Transportation,Other,N/A,Closed Lost,FALSE,2230345,0
0063100000biLJQAA2,001i000001PAXH0AAP,2016-06-30,TRUE,2016-03-18,2016 2,2,2016,FALSE,Transportation,Trade Show,N/A,Closed Lost,FALSE,71625,0
0063100000biMhnAAE,0013100001k9FSCAA2,2018-12-31,TRUE,2016-03-18,2018 4,4,2018,FALSE,Agriculture,Field Sales,N/A,Closed Lost,FALSE,56177.14,0
0063100000biORrAAM,0013100001fs0lgAAA,2016-03-31,TRUE,2016-03-19,2016 1,1,2016,FALSE,Agriculture,Website,N/A,Closed Lost,FALSE,0,0
0063100000biORwAAM,0013100001fs0lgAAA,2016-06-30,TRUE,2016-03-19,2016 2,2,2016,FALSE,Construction,Other,N/A,Closed Lost,FALSE,166380.75,0
0063100000biXiAAAU,0013100001elrhEAAQ,2020-12-30,TRUE,2016-03-21,2020 4,4,2020,FALSE,Construction,Referral,N/A,Closed Lost,FALSE,58369,0
0063100000bibLhAAI,0013100001fsGr5AAE,2018-12-28,TRUE,2016-03-22,2018 4,4,2018,FALSE,Construction,Website,N/A,Closed Lost,FALSE,54805,0
0063100000bio1FAAQ,0013100001fscRSAAY,2020-12-31,FALSE,2016-03-24,2020 4,4,2020,FALSE,Consulting,Trade Show,N/A,Qualified Opportunity,FALSE,0,0
0063100000bio1jAAA,0013100001fscRSAAY,2020-05-20,TRUE,2016-03-24,2020 2,2,2020,FALSE,Agriculture,Trade Show,N/A,Closed Lost,FALSE,71500,0
0063100000bio3fAAA,001i000001PAXH0AAP,2016-06-30,TRUE,2016-03-24,2016 2,2,2016,FALSE,Agriculture,Trade Show,N/A,Closed Lost,FALSE,71625,0
0063100000bio5qAAA,0013100001fscbNAAQ,2016-06-30,TRUE,2016-03-24,2016 2,2,2016,FALSE,Agriculture,Trade Show,N/A,Closed Lost,FALSE,71625,0
0063100000bio8GAAQ,0013100001fscftAAA,2020-05-26,TRUE,2016-03-24,2020 2,2,2020,FALSE,Agriculture,Trade Show,N/A,Closed Lost,FALSE,71500,0
0063100000bir5WAAQ,0013100001fshyPAAQ,2018-04-27,TRUE,2016-03-24,2018 2,2,2018,FALSE,Agriculture,Inside Sales,N/A,Closed Won,TRUE,64350,64350
0063100000biw5lAAA,0013100001fsoNJAAY,2016-04-03,TRUE,2016-03-25,2016 2,2,2016,FALSE,Agriculture,Trade Show,N/A,Closed Won,TRUE,52000,52000
0063100000bj4xEAAQ,0013100001gbOlhAAE,2016-04-29,TRUE,2016-03-28,2016 2,2,2016,FALSE,Agriculture,Referral,N/A,Closed Won,TRUE,28500,28500
0063100000bjBkTAAU,0013100001ftCmJAAU,2018-11-06,TRUE,2016-03-29,2018 4,4,2018,FALSE,Agriculture,Field Sales,N/A,Closed Lost,FALSE,71500,0
0063100000bjCzBAAU,0013100001ftDKRAA2,2020-03-01,TRUE,2016-03-29,2020 1,1,2020,FALSE,Agriculture,Other,N/A,Closed Lost,FALSE,54805,0
0063100000bjHRMAA2,0013100001ftJMpAAM,2019-12-27,TRUE,2016-03-30,2019 4,4,2019,FALSE,Agriculture,Website,N/A,Closed Lost,FALSE,72600,0
0063100000bjN6LAAU,0013100001frKBoAAM,2021-06-21,TRUE,2016-03-31,2021 2,2,2021,TRUE,Agriculture,Inside Sales,N/A,Closed Won,TRUE,86450,86450
0063100000bjNqiAAE,0013100001gZQZ9AAO,2016-06-30,TRUE,2016-03-31,2016 2,2,2016,FALSE,Agriculture,Inside Sales,N/A,Closed Lost,FALSE,71625,0
0063100000bjUufAAE,0013100001gYObWAAW,2020-01-01,TRUE,2016-04-01,2020 1,1,2020,FALSE,Agriculture,Website,N/A,Closed Lost,FALSE,54805,0
0063100000bjVFjAAM,0013100001gZda5AAC,2018-12-31,TRUE,2016-04-01,2018 4,4,2018,FALSE,Agriculture,Trade Show,N/A,Closed Lost,FALSE,54805,0
0063100000bjgHeAAI,0013100001gZsSEAA0,2016-05-09,TRUE,2016-04-03,2016 2,2,2016,FALSE,Agriculture,Other,N/A,Closed Lost,FALSE,77220,0
0063100000bjwtuAAA,0013100001gaRiSAAU,2019-04-23,TRUE,2016-04-06,2019 2,2,2019,FALSE,Agriculture,Website,N/A,Closed Lost,FALSE,0,0
0063100000bjyJNAAY,0013100001gaTySAAU,2019-12-28,TRUE,2016-04-06,2019 4,4,2019,FALSE,Apparel,Trade Show,N/A,Closed Lost,FALSE,57394,0
0063100000brcf3AAA,0013100001gW6fvAAC,2019-09-26,TRUE,2016-04-15,2019 3,3,2019,FALSE,Apparel,Website,N/A,Closed Lost,FALSE,57394,0
0063100000brfsIAAQ,0013100001gWWASAA4,2016-04-30,TRUE,2016-04-15,2016 2,2,2016,FALSE,Apparel,Other,N/A,Closed Lost,FALSE,3575000,0
0063100000brfxvAAA,0013100001fpz8iAAA,2016-04-30,TRUE,2016-04-15,2016 2,2,2016,FALSE,Apparel,Other,N/A,Closed Lost,FALSE,3575000,0
0063100000brr2QAAQ,0013100001eCIpHAAW,2016-07-14,TRUE,2016-04-18,2016 3,3,2016,FALSE,Apparel,Field Sales,N/A,Closed Won,TRUE,113000,113000
0063100000brsyvAAA,0013100001gWmHJAA0,2016-06-30,TRUE,2016-04-18,2016 2,2,2016,FALSE,Apparel,Trade Show,N/A,Closed Lost,FALSE,0,0
0063100000brszAAAQ,0013100001gbb7YAAQ,2018-12-28,TRUE,2016-04-18,2018 4,4,2018,FALSE,Banking,Field Sales,N/A,Closed Lost,FALSE,57394,0
0063100000brszUAAQ,0013100001gWmHJAA0,2016-09-30,TRUE,2016-04-18,2016 3,3,2016,FALSE,Banking,Trade Show,N/A,Closed Lost,FALSE,71500,0
0063100000brtAbAAI,0013100001frK2lAAE,2018-12-28,TRUE,2016-04-18,2018 4,4,2018,FALSE,Banking,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000brtClAAI,0013100001gWnagAAC,2018-12-28,TRUE,2016-04-18,2018 4,4,2018,FALSE,Banking,Website,N/A,Closed Lost,FALSE,54805,0
0063100000brwi9AAA,0013100001gWqEiAAK,2019-12-27,TRUE,2016-04-18,2019 4,4,2019,FALSE,Consulting,Website,N/A,Closed Lost,FALSE,28500,0
0063100000brwoYAAQ,0013100001fpk4nAAA,2018-12-28,TRUE,2016-04-18,2018 4,4,2018,FALSE,Consulting,Field Sales,N/A,Closed Lost,FALSE,72600,0
0063100000bs379AAA,0013100001gZd3uAAC,2016-06-12,TRUE,2016-04-19,2016 2,2,2016,FALSE,Consulting,Referral,N/A,Closed Won,TRUE,28500,28500
0063100000bs399AAA,0013100001gWxm7AAC,2017-08-23,TRUE,2016-04-19,2017 3,3,2017,FALSE,Consulting,Trade Show,N/A,Closed Won,TRUE,54782,54782
0063100000bs3BKAAY,0013100001gWxm7AAC,2020-07-01,TRUE,2016-04-19,2020 3,3,2020,FALSE,Education,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000bs3ELAAY,0013100001gWxtDAAS,2017-11-28,TRUE,2016-04-19,2017 4,4,2017,FALSE,Education,Referral,N/A,Closed Won,TRUE,50015,50015
0063100000bs6w4AAA,0013100001gX1c0AAC,2017-07-29,FALSE,2016-04-19,2017 3,3,2017,FALSE,Education,Website,N/A,Customer Assessment w/ Favorable Evaluation,FALSE,70000,21000
0063100000bs7EaAAI,0013100001enwXDAAY,2017-09-29,FALSE,2016-04-19,2017 3,3,2017,FALSE,Education,Referral,N/A,Customer Assessment w/ Favorable Evaluation,FALSE,70000,21000
0063100000bs92IAAQ,0013100001gX3sAAAS,2017-09-29,FALSE,2016-04-19,2017 3,3,2017,FALSE,Education,Trade Show,N/A,Qualified Opportunity,FALSE,65000,0
0063100000bs9OiAAI,0013100001gX4A9AAK,2017-04-19,TRUE,2016-04-19,2017 2,2,2017,FALSE,Education,Inside Sales,N/A,Closed Lost,FALSE,74548,0
0063100000bsAAyAAM,0013100001qvZsSAAU,2018-03-26,TRUE,2016-04-20,2018 1,1,2018,FALSE,Education,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000bsACVAA2,0013100001k5ZyRAAU,2020-07-01,TRUE,2016-04-20,2020 3,3,2020,FALSE,Education,Website,N/A,Closed Lost,FALSE,75320,0
0063100000bsADJAA2,0013100001gX5LzAAK,2018-12-28,TRUE,2016-04-20,2018 4,4,2018,FALSE,Education,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000bsAEDAA2,0013100001gX5LzAAK,2018-12-28,TRUE,2016-04-20,2018 4,4,2018,FALSE,Electronics,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000bsAEwAAM,0013100001fsGopAAE,2018-03-16,TRUE,2016-04-20,2018 1,1,2018,FALSE,Electronics,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000bsDEqAAM,0013100001gX9DpAAK,2016-12-31,TRUE,2016-04-20,2016 4,4,2016,FALSE,Electronics,Website,N/A,Closed Won,TRUE,0,0
0063100000bsDGLAA2,0013100001gX9DpAAK,2017-09-29,TRUE,2016-04-20,2017 3,3,2017,FALSE,Electronics,Website,N/A,Closed Won,TRUE,71500,71500
0063100000c9carAAA,0013100001gang7AAA,2016-03-31,TRUE,2016-04-08,2016 1,1,2016,FALSE,Electronics,Field Sales,N/A,Closed Won,TRUE,70000,70000
0063100000c9jv9AAA,0013100001gawnXAAQ,2020-12-31,FALSE,2016-04-09,2020 4,4,2020,FALSE,Biotechnology,Other,N/A,Qualified Opportunity,FALSE,379035.2,37903.52
0063100000c9jvEAAQ,0013100001gawnXAAQ,2022-03-31,FALSE,2016-04-09,2022 1,1,2022,FALSE,Banking,Other,N/A,Customer Assessment w/ Favorable Evaluation,FALSE,137103,41130.9
0063100000c9uVsAAI,001i000001O0EcFAAV,2016-09-30,TRUE,2016-04-11,2016 3,3,2016,FALSE,Banking,Other,N/A,Closed Won,TRUE,325000,325000
0063100000c9vEPAAY,0013100001gbGGrAAM,2020-12-31,FALSE,2016-04-12,2020 4,4,2020,FALSE,Banking,Trade Show,N/A,Qualified Opportunity,FALSE,72136,7213.6
0063100000cA4CDAA0,0013100001gbQdRAAU,2017-12-29,TRUE,2016-04-13,2017 4,4,2017,FALSE,Banking,Website,N/A,Closed Lost,FALSE,0,0
0063100000cA94oAAC,0013100001envD8AAI,2018-09-05,TRUE,2016-04-13,2018 3,3,2018,FALSE,Banking,Trade Show,N/A,Closed Won,TRUE,71500,71500
0063100000cAAfpAAG,0013100001gbb7YAAQ,2017-12-29,TRUE,2016-04-13,2017 4,4,2017,FALSE,Banking,Field Sales,N/A,Closed Lost,FALSE,28500,0
0063100000cAFibAAG,001i000001MZ8IpAAL,2016-04-30,TRUE,2016-04-14,2016 2,2,2016,FALSE,Banking,Field Sales,N/A,Closed Lost,FALSE,3575000,0
0063100000cAFmBAAW,001i000001MZ8IpAAL,2016-04-30,TRUE,2016-04-14,2016 2,2,2016,FALSE,Banking,Field Sales,N/A,Closed Won,TRUE,3476150,3476150
0063100000cAG2DAAW,0013100001fpyoxAAA,2016-04-30,TRUE,2016-04-14,2016 2,2,2016,FALSE,Banking,Other,N/A,Closed Lost,FALSE,3575000,0
0063100000cAG5gAAG,0013100001gbj6NAAQ,2016-04-30,TRUE,2016-04-14,2016 2,2,2016,FALSE,Banking,Other,N/A,Closed Lost,FALSE,3575000,0
0063100000cAGFGAA4,0013100001VXN1KAAX,2016-04-30,TRUE,2016-04-14,2016 2,2,2016,FALSE,Biotechnology,Other,N/A,Closed Lost,FALSE,3575000,0
0063100000cAJfPAAW,0013100001fqwyfAAA,2017-08-25,TRUE,2016-04-14,2017 3,3,2017,FALSE,Biotechnology,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000cAJrbAAG,0013100001gbmM9AAI,2018-09-28,TRUE,2016-04-14,2018 3,3,2018,FALSE,Biotechnology,Field Sales,N/A,Closed Lost,FALSE,54805,0
0063100000cDUg0AAG,0013100001fpDd3AAE,2017-06-30,FALSE,2016-04-21,2017 2,2,2017,FALSE,Biotechnology,Seminar - Internal,N/A,Customer Assessment w/ Favorable Evaluation,FALSE,79500,23850
0063100000cDXtVAAW,0013100001gXqdHAAS,2016-08-06,TRUE,2016-04-21,2016 3,3,2016,FALSE,Biotechnology,Field Sales,N/A,Closed Won,TRUE,51805,51805
0063100000cDZXMAA4,0013100001fqwyfAAA,2018-02-09,TRUE,2016-04-22,2018 1,1,2018,FALSE,Biotechnology,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000cDm71AAC,0013100001gYA7VAAW,2020-09-25,TRUE,2016-04-24,2020 3,3,2020,FALSE,Biotechnology,Referral,N/A,Closed Lost,FALSE,86045,0
0063100000cDvU6AAK,0013100001fpKktAAE,2017-06-30,TRUE,2016-04-26,2017 2,2,2017,FALSE,Electronics,Field Sales,N/A,Closed Lost,FALSE,54805,0
0063100000cDvV9AAK,0013100001gYPr1AAG,2020-01-01,TRUE,2016-04-26,2020 1,1,2020,FALSE,Electronics,Website,N/A,Closed Lost,FALSE,54805,0
0063100000cDymhAAC,001i000001MZ8IpAAL,2016-07-26,TRUE,2016-04-26,2016 3,3,2016,FALSE,Electronics,Inside Sales,N/A,Closed Lost,FALSE,449988,0
0063100000cEC9yAAG,0013100001gYkwAAAS,2017-12-31,TRUE,2016-04-27,2017 4,4,2017,FALSE,Electronics,Field Sales,N/A,Closed Lost,FALSE,71500,0
0063100000cECudAAG,0013100001gYm2TAAS,2016-09-30,TRUE,2016-04-27,2016 3,3,2016,FALSE,Energy,Inside Sales,N/A,Closed Lost,FALSE,71500,0
0063100000cEfTnAAK,0013100001gaTySAAU,2018-12-28,TRUE,2016-04-30,2018 4,4,2018,FALSE,Energy,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000cErLdAAK,0013100001gaTySAAU,2019-09-28,TRUE,2016-05-02,2019 3,3,2019,FALSE,Energy,Referral,N/A,Closed Lost,FALSE,54805,0
0063100000cFE41AAG,0013100001fpk4nAAA,2016-04-29,TRUE,2016-05-05,2016 2,2,2016,FALSE,Energy,Field Sales,N/A,Closed Won,TRUE,19950,19950
